Title,Price,Star,Rating,Genre,Badge,Url,ASIN
A Promised Land,$27.00,4.4 out of 5 stars,92,Empty,#1 on Amazon Charts,https://www.amazon.com//Promised-Land-Barack-Obama/dp/1524763160/ref=sr_1_1?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-1,1524763160
Greenlights,$0.00,4.7 out of 5 stars,"3,255",Empty,#1 on Amazon Charts,https://www.amazon.com//Greenlights/dp/B08HLW2JXD/ref=sr_1_2?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-2,B08HLW2JXD
The Deep End (Diary of a Wimpy Kid Book 15),$7.98,4.9 out of 5 stars,"4,115",Empty,Teachers' pick,https://www.amazon.com//Deep-End-Diary-Wimpy-Book/dp/1419748688/ref=sr_1_3?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-3,1419748688
Tasha's Cauldron of Everything (D&D Rules Expansion) (Dungeons & Dragons),$29.97,3.1 out of 5 stars,26,Empty,#12 on Amazon Charts,https://www.amazon.com//Cauldron-Everything-Expansion-Dungeons-Dragons/dp/0786967021/ref=sr_1_4?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-4,0786967021
A Wealth of Pigeons: A Cartoon Collection,$19.58,3.3 out of 5 stars,3,in Pop Culture Art,Best Seller,https://www.amazon.com//Wealth-Pigeons-Cartoon-Collection/dp/1250262895/ref=sr_1_5?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-5,1250262895
"Rhythm of War: The Stormlight Archive, Book 4",$0.00,4.5 out of 5 stars,20,Empty,#10 on Amazon Charts,https://www.amazon.com//Rhythm-of-War/dp/B082FQRWWR/ref=sr_1_6?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-6,B082FQRWWR
The World Needs Who You Were Made to Be,$13.67,4.8 out of 5 stars,104,Empty,Teachers' pick,https://www.amazon.com//World-Needs-Who-Were-Made/dp/1400314232/ref=sr_1_7?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-7,1400314232
"Dolly Parton, Songteller: My Life in Lyrics",$30.00,5.0 out of 5 stars,15,in Country Music,Best Seller,https://www.amazon.com//Dolly-Parton-Songteller-Life-Lyrics/dp/1797205099/ref=sr_1_8?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-8,1797205099
First Principles: What America's Founders Learned from the Greeks and Romans and How That Shaped Our Country,$17.99,4.4 out of 5 stars,49,Empty,#3 on Amazon Charts,https://www.amazon.com//First-Principles-Americas-Founders-Learned/dp/0062997459/ref=sr_1_9?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-9,0062997459
Uncomfortable Conversations with a Black Man,$16.79,4.8 out of 5 stars,130,Empty,Oprah's Favorites,https://www.amazon.com//Uncomfortable-Conversations-Black-Emmanuel-Acho/dp/1250800463/ref=sr_1_10?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-10,1250800463
The Ickabog,$16.19,4.7 out of 5 stars,273,Empty,#5 on Amazon Charts,https://www.amazon.com//Ickabog-J-K-Rowling/dp/1338732870/ref=sr_1_11?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-11,1338732870
The Law of Innocence (Mickey Haller Book 6),$14.99,4.5 out of 5 stars,"2,341",Empty,#1 on Amazon Charts,https://www.amazon.com//Law-Innocence-Lincoln-Lawyer-Book-ebook/dp/B0852ZXJSD/ref=sr_1_12?dchild=1&fst=as%3Aoff&qid=1603803269&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-12,B0852ZXJSD
